CandidateID;Name;Age;Education;Skills;Interests;Recommended_Career;Recommendation_Score
167;Jade Wood;29;Master's;JavaScript;;;
168;Weston Perry;30;PhD;Digital Marketing;;;
169;Aubrey Jenkins;31;Bachelor's;Project Management;;;
170;Harrison Collins;32;Master's;Python;;;
171;Luna Gray;33;PhD;Financial Analysis;;;
172;Gavin Long;34;Bachelor's;Research;;;
173;Penelope Foster;35;Master's;Cloud Computing;;;
174;Austin Powell;36;PhD;Java;;;
175;Vivian Butler;37;Bachelor's;UX Research;;;
176;Xavier Barnes;38;Master's;Copywriting;;;
177;Stella James;39;PhD;Network Security;;;
178;Caden Morgan;40;Bachelor's;C#;;;
179;Maya Ross;41;Master's;Data Visualization;;;
180;Jace Reed;22;PhD;Machine Learning;;;
181;Kendall Rivera;23;Bachelor's;Python;;;
182;Rylan Perry;24;Master's;Java;;;
183;Adalyn Jenkins;25;PhD;Graphic Design;;;
184;Zion Collins;26;Bachelor's;HTML;;;
185;Emery Gray;27;Master's;C++;;;
186;Nolan Long;28;PhD;SQL;;;
187;Ivy Foster;29;Bachelor's;JavaScript;;;
188;Tristan Powell;30;Master's;Digital Marketing;;;
189;Olivia Butler;31;PhD;Project Management;;;
190;Damian Barnes;32;Bachelor's;Python;;;
191;Sienna James;33;Master's;Financial Analysis;;;
192;Jasper Morgan;34;PhD;Research;;;
193;Eleanor Ross;35;Bachelor's;Cloud Computing;;;
194;Ezra Reed;36;Master's;Java;;;
195;Lola Rivera;37;PhD;UX Research;;;
196;Easton Perry;38;Bachelor's;Copywriting;;;
197;Aurora Jenkins;39;Master's;Network Security;;;
198;Camden Collins;40;PhD;C#;;;
199;Hazel Gray;41;Bachelor's;Data Visualization;;;
200;Micah Long;22;Master's;Machine Learning;;;
